,Visual,Acoustic,Body mass,Species ID,Species ID_BIRDTREE
AD,0.116071429,0.109375,37.6,Dicrurus_leucophaeus,Dicrurus leucophaeus
BCF,0.098214286,0.527272727,20.7,Alcippe_poioicephala,Alcippe poioicephala
BCPW,0.267857143,0.18852459,19,Dendrocopos_nanus,Dendrocopos nanus
BD,0.446428571,0.466063348,26,Dicrurus_aeneus,Dicrurus aeneus
BLTIT,0.419642857,0.539823009,18.9,Parus_xanthogenys,Parus xanthogenys
BNM,0.223214286,0.406896552,11.1,Hypothymis_azurea,Hypothymis azurea
BSTR,0.107142857,0.622641509,39.6,Sturnus_malabaricus,Sturnus malabaricus
BWFS,0.125,0.626865672,10.2,Hemipus_picatus,Hemipus picatus
CBS,0.142857143,0.780821918,4.9,Nectarinia_minima,Nectarinia minima
CFL,0.071428571,0.166666667,76.4,Dinopium_javanense,Dinopium javanense
CIO,0.098214286,0.339622642,12,Aegithina_tiphia,Aegithina tiphia
CTIT,0.4375,0.554112554,18.9,Parus_cinerascens,Parus cinerascens
G/GSLW,0.125,0.390243902,8.1,Phylloscopus_nitidus,Phylloscopus nitidus
GFLB,0.098214286,0.34,36,Dinopium_shorii,Dinopium shorii
GHC,0.0625,0.605263158,7.7,Culicicapa_ceylonensis,Culicicapa ceylonensis
INH,0.080357143,0.384615385,19.6,Sitta_castanea,Sitta castanea
JB,0.116071429,0.759259259,66,Turdoides_striata,Turdoides striata
LFL,0.080357143,0.102564103,100,Dinopium_benghalense,Dinopium benghalense
MWS,0.241071429,0.569105691,20.2,Tephrodornis_pondicerianus,Tephrodornis pondicerianus
OMV,0.642857143,0.573667712,23.3,Pericrocotus_flammeus,Pericrocotus flammeus
OWE,0.196428571,0.63,8.6,Zosterops_palpebrosus,Zosterops palpebrosus
PFL,0.0625,0.076923077,18.5,Terpsiphone_paradisi,Terpsiphone paradisi
RTD,0.303571429,0.324675325,71,Dicrurus_paradiseus,Dicrurus paradiseus
RWHBL,0.0625,0.457142857,27.4,Pycnonotus_jocosus,Pycnonotus jocosus
SMV,0.1875,0.657407407,8.6,Pericrocotus_cinnamomeus,Pericrocotus cinnamomeus
SP,0.089285714,0.431818182,10.2,Picumnus_innominatus,Picumnus innominatus
VFNH,0.741071429,0.393048128,16.5,Sitta_frontalis,Sitta frontalis
WCB,0.0625,0.230769231,80.5,Megalaima_viridis,Megalaima viridis
YBBL,0.133928571,0.4,30.6,Iole_indica,Iole indica
YNGW,0.071428571,0.184210526,65.4,Picus_chlorolophus,Picus chlorolophus
